StudyID,Study..Authors.,PublicationYear,StudyLabel,Title,Status,Country,Comparison.within.study,ComparisonID,Outcome.battery,Subscale.subtest,Type.of.test,Diagnostic.Status,CG.status,Pre.TG.Mean,Pre.TG.sd,Pre.TG.N,Pre.CG.Mean,Pre.CG.sd,Pre.CG.N,Post.TG.Mean,Post.TG.sd,Post.TG.N,Post.CG.Mean,Post.CG.sd,Post.CG.N,Cohen.d,OutcomeType,OutcomeDetail,Reliability,outcomeSign,Time,InterventionType,InterventionType.Detail.1,InterventionType.Detail.2,Setting,Design,Session.duration,N.of.sessions,N.of.weeks,M.Age..months.,Age.Range,M.Age.TG,M.Age.CG,Estimated.mean.age,Age.group,M.IQ.TG,M.IQ.CG,ClaimTitleAbstract,Statistical.inference,Post.hoc,critical.threshold,explicit.alpha,pvalue.correction,Effect.size.reported,Nxgroup,EffectSize,Vi
19,Heth,2015,Heth and Lavidor (2015),Improved reading measures in adults with dyslexia following transcranial direct current stimulation treatment,Published,Israel,tDCS vs Sham,22,,text,standardized,Clinical assessment,Control,99,16.2,10,97.9,14.8,9,112.7,17.8,10,91.1,13.5,9,,Text,Text word per minute (speed),,Positivo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,20,5,2,,,326.4,294,311.0526316,Adult,Vocabulary & Block design Matched IQ,Vocabulary & Block design Matched IQ,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,no,9.5,1.258741558,0.141374797
20,Horowitz-Kraus,2014a,Horowitz-Kraus et al. (2014a),Reading acceleration training changes brain circuitry in children with reading difficulties,Published,USA,RAN vs control,23,"WJ, TOWRE, CTOPP, GORT","word, pseudowords, contextual reading",standardized,Assessed by the authors,Control,13.26,15.88,18,12.2,10.8,15,27.69,17.09,18,11.33,10.1,15,,Word,WordReadingfluency,,Positivo,pre-post,Reading acceleration program,Reading acceleration program,RAN,Computer,unclear,18,20,4,118.8,,,,118.8,Child,Matched IQ,Matched IQ,Effective,ANOVAs by time,pairwise t-test various,p < 0.05,no,no,eta square,16.5,1.080165538,0.070110148
20,Horowitz-Kraus,2014a,Horowitz-Kraus et al. (2014a),Reading acceleration training changes brain circuitry in children with reading difficulties,Published,USA,RAN vs control,23,"WJ, TOWRE, CTOPP, GORT","word, pseudowords, contextual reading",standardized,Assessed by the authors,Control,15.41,12,18,10,5.4,15,25.07,17.52,18,9.2,6.9,15,,Pseudoword,PseudowordReadingfluency,,Positivo,pre-post,Reading acceleration program,Reading acceleration program,RAN,Computer,unclear,18,20,4,118.8,,,,118.8,Child,Matched IQ,Matched IQ,Effective,ANOVAs by time,pairwise t-test various,p < 0.05,no,no,eta square,16.5,1.063142103,0.069473212
20,Horowitz-Kraus,2014a,Horowitz-Kraus et al. (2014a),Reading acceleration training changes brain circuitry in children with reading difficulties,Published,USA,RAN vs control,23,"WJ, TOWRE, CTOPP, GORT","word, pseudowords, contextual reading",standardized,Assessed by the authors,Control,10.5,8.17,18,14.29,10.45,15,24.83,12.73,18,14.21,12.04,15,,Text,ContextualOralreading,,Positivo,pre-post,Reading acceleration program,Reading acceleration program,RAN,Computer,unclear,18,20,4,118.8,,,,118.8,Child,Matched IQ,Matched IQ,Effective,ANOVAs by time,pairwise t-test various,p < 0.05,no,no,eta square,16.5,1.5166634,0.089897574
20,Horowitz-Kraus,2014a,Horowitz-Kraus et al. (2014a),Reading acceleration training changes brain circuitry in children with reading difficulties,Published,USA,RAN vs control,23,"WJ, TOWRE, CTOPP, GORT","word, pseudowords, contextual reading",standardized,Assessed by the authors,Control,15.15,12.11,18,16.47,10.6,15,24.5,7.46,18,16.27,13.34,15,,Text,ContextualOralReadingAccuracy,,Positivo,pre-post,Reading acceleration program,Reading acceleration program,RAN,Computer,unclear,18,20,4,118.8,,,,118.8,Child,Matched IQ,Matched IQ,Effective,ANOVAs by time,pairwise t-test various,p < 0.05,no,no,eta square,16.5,0.813523219,0.06129557
20,Horowitz-Kraus,2014a,Horowitz-Kraus et al. (2014a),Reading acceleration training changes brain circuitry in children with reading difficulties,Published,USA,RAN vs control,23,"WJ, TOWRE, CTOPP, GORT","word, pseudowords, contextual reading",standardized,Assessed by the authors,Control,21.95,7.42,18,26.36,19.85,15,36.53,12.09,18,33.57,21.89,15,,Comprehension,OralReadingComprehension,,Positivo,pre-post,Reading acceleration program,Reading acceleration program,RAN,Computer,unclear,18,20,4,118.8,,,,118.8,Child,Matched IQ,Matched IQ,Effective,ANOVAs by time,pairwise t-test various,p < 0.05,no,no,eta square,16.5,0.498388572,0.054078438
21,Horowitz-Kraus,2014b,Horowitz-Kraus et al. (2014b),Reading improvement in English- and Hebrew-speaking children with reading difficulties after reading acceleration training,Published,Israel,RAP group vs Waiting list group Hebrew,24,,"words, pseudowords",standardized,Assessed by the authors,waiting list,46.61,9.94,27,44.54,9.2,27,57.67,12.15,27,43.9,8.78,27,,Word,words per minute (number),,Positivo,pre-post,Reading acceleration program,Reading acceleration program,Reading accelleration training,Computer,randomized,18,20,4,103.8,,,,103.8,Child,103.85,102.11,Effective,ANOVAs by group,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,eta square,27,1.203952628,0.044529682
21,Horowitz-Kraus,2014b,Horowitz-Kraus et al. (2014b),Reading improvement in English- and Hebrew-speaking children with reading difficulties after reading acceleration training,Published,Israel,RAP group vs Waiting list group Hebrew,24,,"words, pseudowords",standardized,Assessed by the authors,waiting list,37.53,9.8,27,34.81,8.32,27,43.16,10.64,27,33.77,8.7,27,,Pseudoword,pseudowords per minute (number),,Positivo,pre-post,Reading acceleration program,Reading acceleration program,Reading accelleration training,Computer,randomized,18,20,4,103.8,,,,103.8,Child,103.85,102.11,Effective,ANOVAs by group,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,eta square,27,0.723125416,0.035195649
21,Horowitz-Kraus,2014b,Horowitz-Kraus et al. (2014b),Reading improvement in English- and Hebrew-speaking children with reading difficulties after reading acceleration training,Published,Israel,RAP group vs Waiting list group Hebrew,24,Aleph-Taph battery,"words, pseudowords",standardized,Assessed by the authors,waiting list,8.62,6.4,27,8.14,4.66,27,3.85,4.5,27,8.66,9.68,27,,Text,oral reading accuracy (errors),,Negativo,pre-post,Reading acceleration program,Reading acceleration program,Reading accelleration training,Computer,randomized,18,20,4,103.8,,,,103.8,Child,103.85,102.11,Effective,ANOVAs by group,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,eta square,27,0.93128207,0.038664725
21,Horowitz-Kraus,2014b,Horowitz-Kraus et al. (2014b),Reading improvement in English- and Hebrew-speaking children with reading difficulties after reading acceleration training,Published,Israel,RAP group vs Waiting list group Hebrew,24,Aleph-Taph battery,"words, pseudowords",standardized,Assessed by the authors,waiting list,872.51,334.14,27,868.74,454.5,27,580.37,150.37,27,842.64,422.28,27,,Text,oral reading pace (ms),,Negativo,pre-post,Reading acceleration program,Reading acceleration program,Reading accelleration training,Computer,randomized,18,20,4,103.8,,,,103.8,Child,103.85,102.11,Effective,ANOVAs by group,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,eta square,27,0.657291728,0.034280189
21,Horowitz-Kraus,2014b,Horowitz-Kraus et al. (2014b),Reading improvement in English- and Hebrew-speaking children with reading difficulties after reading acceleration training,Published,Israel,RAP group vs Waiting list group Hebrew,24,ELUL battery,"words, pseudowords",standardized,Assessed by the authors,waiting list,12.11,4.63,27,12.22,4.53,27,15.11,3.48,27,12.48,4.61,27,,Text,oral reading comprehension (number of correct responses),,Positivo,pre-post,Reading acceleration program,Reading acceleration program,Reading accelleration training,Computer,randomized,18,20,4,103.8,,,,103.8,Child,103.85,102.11,Effective,ANOVAs by group,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,eta square,27,0.589547807,0.033429321
21,Horowitz-Kraus,2014b,Horowitz-Kraus et al. (2014b),Reading improvement in English- and Hebrew-speaking children with reading difficulties after reading acceleration training,Published,Usa,RAP group vs Waiting list group English,25,WJ,"words, pseudowords",standardized,Assessed by the authors,waiting list,65.11,12.99,20,65.244,21.43,15,73.2,15.05,20,65,11.06,15,,Word,words per minute (number),,Positivo,pre-post,Reading acceleration program,Reading acceleration program,Reading accelleration training,Computer,randomized,18,20,4,119.28,,,,119.28,Child,98.89,102.33,Effective,ANOVAs by group,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,eta square,17.5,0.476554118,0.051134039
21,Horowitz-Kraus,2014b,Horowitz-Kraus et al. (2014b),Reading improvement in English- and Hebrew-speaking children with reading difficulties after reading acceleration training,Published,Usa,RAP group vs Waiting list group English,25,WJ,"words, pseudowords",standardized,Assessed by the authors,waiting list,21.95,8.67,20,22.22,11.27,15,28.2,10.8,20,23.27,11.88,15,,Pseudoword,pseudowords per minute (number),,Positivo,pre-post,Reading acceleration program,Reading acceleration program,Reading accelleration training,Computer,randomized,18,20,4,119.28,,,,119.28,Child,98.89,102.33,Effective,ANOVAs by group,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,eta square,17.5,0.515455093,0.05176375
21,Horowitz-Kraus,2014b,Horowitz-Kraus et al. (2014b),Reading improvement in English- and Hebrew-speaking children with reading difficulties after reading acceleration training,Published,Usa,RAP group vs Waiting list group English,25,GORT IV,"words, pseudowords",standardized,Assessed by the authors,waiting list,6.81,2.81,20,6.28,1.94,15,7.1,1.8,20,6.53,1.75,15,,Text,oral reading accuracy (standard score),,Positivo,pre-post,Reading acceleration program,Reading acceleration program,Reading accelleration training,Computer,randomized,18,20,4,119.28,,,,119.28,Child,98.89,102.33,Effective,ANOVAs by group,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,eta square,17.5,0.015769259,0.047432229
21,Horowitz-Kraus,2014b,Horowitz-Kraus et al. (2014b),Reading improvement in English- and Hebrew-speaking children with reading difficulties after reading acceleration training,Published,Usa,RAP group vs Waiting list group English,25,GORT IV,"words, pseudowords",standardized,Assessed by the authors,waiting list,5.94,1.66,20,6.57,3.11,15,6.95,1.98,20,6.15,1.64,15,,Text,oral reading pace (standard score),,Positivo,pre-post,Reading acceleration program,Reading acceleration program,Reading accelleration training,Computer,randomized,18,20,4,119.28,,,,119.28,Child,98.89,102.33,Effective,ANOVAs by group,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,eta square,17.5,0.585765023,0.053027195
21,Horowitz-Kraus,2014b,Horowitz-Kraus et al. (2014b),Reading improvement in English- and Hebrew-speaking children with reading difficulties after reading acceleration training,Published,Usa,RAP group vs Waiting list group English,25,GORT IV,"words, pseudowords",standardized,Assessed by the authors,waiting list,7.25,1.39,20,7.5,2.55,15,8.4,1.56,20,8.23,2.39,15,,Text,oral reading comprehension (standard score),,Positivo,pre-post,Reading acceleration program,Reading acceleration program,Reading accelleration training,Computer,randomized,18,20,4,119.28,,,,119.28,Child,98.89,102.33,Effective,ANOVAs by group,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,eta square,17.5,0.208580233,0.048138095
22,Kashani-Vahid,2019,Kashani-Vahid et al. (2019),Effectiveness of 'Maghzineh' Cognitive Video Game on Reading Performance of Students with Learning Disabilities in Reading,Published,Iran,Videogames vs Control,26,,"Reading words, pseudowords text comprehension",research materials,Assessed by the authors,Control,42.3,5.93,10,42.4,4.99,10,43.9,5.99,10,42.7,5.21,10,,Word,Readingwords,,Positivo,pre-post,Neuropsychological,video games,Maghzineh Attention training package,Computer,randomized,SelfPaced,,4.5,96.83,,,,96.83,Child,Average IQ,Average IQ,Effective,ANOVAs covarying pre-test,,p < 0.05,yes,no,unclear,10,0.227194688,0.084203612
22,Kashani-Vahid,2019,Kashani-Vahid et al. (2019),Effectiveness of 'Maghzineh' Cognitive Video Game on Reading Performance of Students with Learning Disabilities in Reading,Published,Iran,Videogames vs Control,26,,"Reading words, pseudowords text comprehension",research materials,Assessed by the authors,Control,12.5,3.03,10,13.2,3.26,10,14.3,3.23,10,13.4,2.84,10,,Word,Chainofwords,,Positivo,pre-post,Neuropsychological,video games,Maghzineh Attention training package,Computer,randomized,SelfPaced,,4.5,96.83,,,,96.83,Child,Average IQ,Average IQ,Effective,ANOVAs covarying pre-test,,p < 0.05,yes,no,unclear,10,0.486922395,0.090127364
22,Kashani-Vahid,2019,Kashani-Vahid et al. (2019),Effectiveness of 'Maghzineh' Cognitive Video Game on Reading Performance of Students with Learning Disabilities in Reading,Published,Iran,Videogames vs Control,26,,"Reading words, pseudowords text comprehension",research materials,Assessed by the authors,Control,12.5,3.03,10,12,3.37,10,14,3.13,10,12.3,3.33,10,,Word,RhymeTest,,Positivo,pre-post,Neuropsychological,video games,Maghzineh Attention training package,Computer,randomized,SelfPaced,,4.5,96.83,,,,96.83,Child,Average IQ,Average IQ,Effective,ANOVAs covarying pre-test,,p < 0.05,yes,no,unclear,10,0.358649185,0.086663223
22,Kashani-Vahid,2019,Kashani-Vahid et al. (2019),Effectiveness of 'Maghzineh' Cognitive Video Game on Reading Performance of Students with Learning Disabilities in Reading,Published,Iran,Videogames vs Control,26,,"Reading words, pseudowords text comprehension",research materials,Assessed by the authors,Control,13.7,2.21,10,14.7,3.33,10,14.8,2.2,10,14.8,3.08,10,,Comprehension,Textcomprehension,,Positivo,pre-post,Neuropsychological,video games,Maghzineh Attention training package,Computer,randomized,SelfPaced,,4.5,96.83,,,,96.83,Child,Average IQ,Average IQ,Effective,ANOVAs covarying pre-test,,p < 0.05,yes,no,unclear,10,0.338900583,0.086223255
22,Kashani-Vahid,2019,Kashani-Vahid et al. (2019),Effectiveness of 'Maghzineh' Cognitive Video Game on Reading Performance of Students with Learning Disabilities in Reading,Published,Iran,Videogames vs Control,26,,"Reading words, pseudowords text comprehension",research materials,Assessed by the authors,Control,15.1,3.66,10,15.4,3.17,10,16.6,3.06,10,15.2,3.46,10,,Comprehension,Wordcomprehension,,Positivo,pre-post,Neuropsychological,video games,Maghzineh Attention training package,Computer,randomized,SelfPaced,,4.5,96.83,,,,96.83,Child,Average IQ,Average IQ,Effective,ANOVAs covarying pre-test,,p < 0.05,yes,no,unclear,10,0.475547602,0.089777709
22,Kashani-Vahid,2019,Kashani-Vahid et al. (2019),Effectiveness of 'Maghzineh' Cognitive Video Game on Reading Performance of Students with Learning Disabilities in Reading,Published,Iran,Videogames vs Control,26,,"Reading words, pseudowords text comprehension",research materials,Assessed by the authors,Control,16.1,3.66,10,18,3.83,10,19,3.53,10,18,3.53,10,,Pseudoword,Readingpseudo-words,,Positivo,pre-post,Neuropsychological,video games,Maghzineh Attention training package,Computer,randomized,SelfPaced,,4.5,96.83,,,,96.83,Child,Average IQ,Average IQ,Effective,ANOVAs covarying pre-test,,p < 0.05,yes,no,unclear,10,0.741455183,0.100113208
23,Koen,2018,Koen et al. (2018),The Location and Effects of Visual Hemisphere-Specific Stimulation on Reading Fluency in Children With the Characteristics of Dyslexia,Published,Usa,Visual Hemisphere Stimulation vs Control,27,,word per minute,unstandardized,Clinical assessment,delayed intervention,78.22,26.31,9,76.67,37.32,6,90.11,30.12,9,85.33,31.68,6,,Word,fluency,0.88,Positivo,pre-post,Neuropsychological,Visual hemisphere-Specific stimulation,Visual hemisphere-Specific stimulation,Computer,randomized,,,24,168,,180,156,168,Child,Average IQ,Average IQ,Effective,ANOVAs interaction,no,p < 0.05,no,no,eta square,7.5,0.09803062,0.11676932
24,Layes,2019,Layes et al. (2019a),Effects of an Adaptive Phonological Training Program on Reading and Phonological Processing Skills in Arabic-Speaking Children With Dyslexia,Published,Arabic,Phonological awareness training vs Control,28,,,unstandardized,Assessed by the authors,Control,15.4,2.08,20,14.9,1.94,20,20.2,2.93,20,15.4,2.52,20,,Word,FrequentWord,.82-.90,Positivo,pre-post,Phonemic awareness instruction,phonemic awareness instruction,Phonological awareness,Individual,randomized,40,36,12,,,122.9,124.65,123.775,Child,Average IQ,Average IQ,Effective,Paired t-test by group and by time,,p < 0.05,no,no,Cohen d,20,2.095530377,0.102168627
24,Layes,2019,Layes et al. (2019a),Effects of an Adaptive Phonological Training Program on Reading and Phonological Processing Skills in Arabic-Speaking Children With Dyslexia,Published,Arabic,Phonological awareness training vs Control,28,,,unstandardized,Assessed by the authors,Control,13.15,3.23,20,12.1,3.22,20,15.7,2.05,20,11.65,1.59,20,,Word,InfrequentWord,.82-.90,Positivo,pre-post,Phonemic awareness instruction,phonemic awareness instruction,Phonological awareness,Individual,randomized,40,36,12,,,122.9,124.65,123.775,Child,Average IQ,Average IQ,Effective,Paired t-test by group and by time,,p < 0.05,no,no,Cohen d,20,0.911750021,0.052223823
24,Layes,2019,Layes et al. (2019a),Effects of an Adaptive Phonological Training Program on Reading and Phonological Processing Skills in Arabic-Speaking Children With Dyslexia,Published,Arabic,Phonological awareness training vs Control,28,,,unstandardized,Assessed by the authors,Control,5.05,1.73,20,6,2.24,20,7.45,1.27,20,6.7,0.92,20,,Pseudoword,Pseudoword,.82-.90,Positivo,pre-post,Phonemic awareness instruction,phonemic awareness instruction,Phonological awareness,Individual,randomized,40,36,12,,,122.9,124.65,123.775,Child,Average IQ,Average IQ,Effective,Paired t-test by group and by time,,p < 0.05,no,no,Cohen d,20,0.83256639,0.050286036
25,Layes,2019,Layes et al. (2019b),Efficacy of a visuomotor-based intervention for children with reading and spelling disabilities: a pilot study,Published,Arabic,Visuomotor-based intervention vs Control,29,,,unstandardized,Clinical assessment,Control,17.5,7.38,10,16.8,5.37,10,19.17,5,10,17.04,3.88,10,,Word,Total word,.82-.90,Positivo,pre-post,Phonics instruction,phonics instruction,Visuomotor rapresentation,Computer,randomized,40,13,6,,,125.5,124.1,124.8,Child,Raven Average IQ,Raven Average IQ,Effective,MANCOVA on post-test adjusted by pre-test plus ANOVAs,pairwise t-test various,p < 0.05,no,no,partial eta square,10,0.21221482,0.083993385
25,Layes,2019,Layes et al. (2019b),Efficacy of a visuomotor-based intervention for children with reading and spelling disabilities: a pilot study,Published,Arabic,Visuomotor-based intervention vs Control,29,,,unstandardized,Clinical assessment,Control,0.8,1.03,10,2.3,2.31,10,2.17,0.58,10,1.67,1.17,10,,Pseudoword,Pseudo-word,.82-.90,Positivo,pre-post,Phonics instruction,phonics instruction,Visuomotor rapresentation,Computer,randomized,40,13,6,,,125.5,124.1,124.8,Child,Raven Average IQ,Raven Average IQ,Effective,MANCOVA on post-test adjusted by pre-test plus ANOVAs,pairwise t-test various,p < 0.05,no,no,partial eta square,10,1.071044171,0.119192389
26,Lotfi,2020,Lotfi et al. (2020),Effects of computerized cognitive training for children with dyslexia: An ERP study,Published,Iraq,Computerized cognitive training vs Control,30,R&D,Rhyming; 2) Word comprehension; 3) Phoneme deletion; and 4) Letter fluenc,standardized,Clinical assessment,Control,78,17.2,11,87,11,20,81,16,11,90,11.3,20,,Comprehension,Wordcomprehension,,Positivo,pre-post,Working memory,Working memory,WM,Computer,randomized,60,30,6,,,98.4,97.2,97.62580645,Child,Average IQ,Average IQ,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,partial eta square,15.5,0,0.057421377
27,Luniewska,2018,Luniewska et al. (2018),Neither action nor phonological video games make dyslexic children read better,Published,Poland,Action video games vs Non-action videogames,31,,words pseudowords,unstandardized,Clinical assessment,Control,49.15,13.85,27,48.59,18.05,27,54.59,14.76,27,52.26,20.25,27,,Word,Word list reading,.71-.94,Positivo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,50,16,4,132,,,,132,Child,IQ > 85,IQ > 85,Not effective,ANOVAs interaction,no,p < 0.05,no,no,eta square,27,0.108427755,0.030046534
27,Luniewska,2018,Luniewska et al. (2018),Neither action nor phonological video games make dyslexic children read better,Published,Poland,Action video games vs Non-action videogames,31,,words pseudowords,unstandardized,Clinical assessment,Control,32.67,6.63,27,30.67,7.38,27,36.86,7.35,27,35.15,9.43,27,,Pseudoword,Pseudoword list reading,.71-.94,Positivo,pre-post,Neuropsychological,video games,Action video games,Computer,randomized,50,16,4,132,,,,132,Child,IQ > 85,IQ > 85,Not effective,ANOVAs interaction,no,p < 0.05,no,no,eta square,27,-0.04074068,0.029944824
28,Luo,2013,Luo et al. (2013),Working-memory training improves developmental dyslexia in Chinese children,Published,China,Working memory training vs Control,32,,"words, phonological awareness",unstandardized,Clinical assessment,Placebo computer program,1127.63,181.1,15,1108.16,139.78,15,934.69,158.34,15,1045.02,104.71,15,1.13,Word,Visual rhyming task reaction time (ms),,Negativo,pre-post,Working memory,Working memory,Working memory training,Computer,randomized,40,2,5,115,,116,114,115,Child,106,108,Effective,t-test at post-test,,p < 0.05,no,no,Cohen d,15,0.780713377,0.066257299
28,Luo,2013,Luo et al. (2013),Working-memory training improves developmental dyslexia in Chinese children,Published,China,Working memory training vs Control,32,,"words, phonological awareness",unstandardized,Clinical assessment,Placebo computer program,66.22,12.69,15,65.63,10.3,15,77.91,7.25,15,67.86,8.28,15,1.13,Word,One minute tests of reading words,,Positivo,pre-post,Working memory,Working memory,Working memory training,Computer,randomized,40,2,5,115,,116,114,115,Child,106,108,Effective,t-test at post-test,,p < 0.05,no,no,Cohen d,15,0.796432088,0.066740659
29,Meng,2014,Meng et al. (2014),Reading performance is enhanced by visual texture discrimination training in Chinese-speaking children with developmental dyslexia,Published,China,Visual texture training vs Control,33,,words,standardized,Assessed by the authors,Non-training group,26.3,4.2,9,29.8,6.9,9,40.91,6.25,9,32.93,7.29,9,,Word,Reading fluency,,Positivo,pre-post,Neuropsychological,Visual training,Visual texture discrimination training,Computer,unclear,,10,4,,,126,122.4,124.2,Child,"68,9 raven","69,4 raven",Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,Bonferroni post-hoc,no,9,1.914155999,0.226263581
30,Nukari,2020,Nukari et al. (2020),Both Individual and Group-Based Neuropsychological Interventions of Dyslexia Improve Processing Speed in Young Adults: A Randomized Controlled Study,Published,Finnish,Individual intervention vs Waiting list,34,,,standardized,Clinical assessment,waiting list,9.1,3.6,39,9.6,3.4,39,10.9,3.7,38,10.4,3.1,39,,Comprehension,V3Verbalcomp.,,Positivo,pre-post,Neuropsychological,neuropsychological,Neuropsychological Interventions,Individual,randomized,90,12,20,,,300,295.2,297.6,Adult,Average IQ,Average IQ,Inconsistent_Other,ANOVAs interaction,pairwise t-test various,p < 0.05,no,Bonferroni ANOVA,unclear,39,0.282770039,0.021195077
30,Nukari,2020,Nukari et al. (2020),Both Individual and Group-Based Neuropsychological Interventions of Dyslexia Improve Processing Speed in Young Adults: A Randomized Controlled Study,Published,Finnish,Group intervention vs Waiting list,35,,,standardized,Clinical assessment,waiting list,9,2.5,37,9.6,3.4,39,10.8,2.9,37,10.4,3.1,39,,Comprehension,V3Verbalcomp.,,Positivo,pre-post,Neuropsychological,neuropsychological,Neuropsychological Interventions,Individual,randomized,120,12,20,,,308.4,295.2,301.6263158,Adult,Average IQ,Average IQ,Inconsistent_Other,ANOVAs interaction,pairwise t-test various,p < 0.05,no,Bonferroni ANOVA,unclear,38,0.330370383,0.021976114
31,Ramsay,2014,Ramsay et al. (2014),Can vergence training improve reading in dyslexics?,Published,Sweden,Group intervention vs Control,36,H test,,standardized,Clinical assessment,Control,87.83,16.8,12,85,19.68,8,95.58,18.08,12,89.37,19.71,8,,Word,WordSpeedInOneMinute,,Positivo,pre-post,Vergence,vergence,orthoptic training,Individual,unclear,15,11.75,5,,,156.96,156.96,156.96,Child,,,Effective,Paired t-test by group and by time,,p < 0.05,yes,no,descriptives,10,0.180094479,0.087030724
32,Shaywitz,2017,Shaywitz et al. (2017),"Effect of Atomoxetine Treatment on Reading and Phonological Skills in Children with Dyslexia or Attention-Deficit/Hyperactivity Disorder and Comorbid Dyslexia in a Randomized, Placebo-Controlled Trial",Published,USA,Pharmacological treatment vs Placebo,37,"WJ, TOWRE, CTOPP, GORT","word, pseudowords, contextual reading",standardized,Clinical assessment,Control,,,20,,,22,,,20,,,22,0.718,Pseudoword,Word Attack,,Positivo,pre-post,Medical treatment,Medical treatment,Pharmacological treatment,,randomized,,,,,,147.6,153.6,150.7428571,Child,IQ > 80,IQ > 80,Effective,t-test on gains by group,,p < 0.05,yes,no,Cohen d,21,0.718,0.04553745
32,Shaywitz,2017,Shaywitz et al. (2017),"Effect of Atomoxetine Treatment on Reading and Phonological Skills in Children with Dyslexia or Attention-Deficit/Hyperactivity Disorder and Comorbid Dyslexia in a Randomized, Placebo-Controlled Trial",Published,USA,Pharmacological treatment vs Placebo,37,"WJ, TOWRE, CTOPP, GORT","word, pseudowords, contextual reading",standardized,Clinical assessment,Control,,,20,,,22,,,20,,,22,0.033,Word,Word Identification,,Positivo,pre-post,Medical treatment,Medical treatment,Pharmacological treatment,,randomized,,,,,,147.6,153.6,150.7428571,Child,IQ > 80,IQ > 80,Effective,t-test on gains by group,,p < 0.05,yes,no,Cohen d,21,0.033,0.038703506
32,Shaywitz,2017,Shaywitz et al. (2017),"Effect of Atomoxetine Treatment on Reading and Phonological Skills in Children with Dyslexia or Attention-Deficit/Hyperactivity Disorder and Comorbid Dyslexia in a Randomized, Placebo-Controlled Trial",Published,USA,Pharmacological treatment vs Placebo,37,"WJ, TOWRE, CTOPP, GORT","word, pseudowords, contextual reading",standardized,Clinical assessment,Control,,,20,,,22,,,20,,,22,0.478,Word,Basic Reading Skills,,Positivo,pre-post,Medical treatment,Medical treatment,Pharmacological treatment,,randomized,,,,,,147.6,153.6,150.7428571,Child,IQ > 80,IQ > 80,Effective,t-test on gains by group,,p < 0.05,yes,no,Cohen d,21,0.478,0.041724305
32,Shaywitz,2017,Shaywitz et al. (2017),"Effect of Atomoxetine Treatment on Reading and Phonological Skills in Children with Dyslexia or Attention-Deficit/Hyperactivity Disorder and Comorbid Dyslexia in a Randomized, Placebo-Controlled Trial",Published,USA,Pharmacological treatment vs Placebo,37,"WJ, TOWRE, CTOPP, GORT","word, pseudowords, contextual reading",standardized,Clinical assessment,Control,,,20,,,22,,,20,,,22,0.112,Comprehension,Passage Comprehension,,Positivo,pre-post,Medical treatment,Medical treatment,Pharmacological treatment,,randomized,,,,,,147.6,153.6,150.7428571,Child,IQ > 80,IQ > 80,Effective,t-test on gains by group,,p < 0.05,yes,no,Cohen d,21,0.112,0.038855679
32,Shaywitz,2017,Shaywitz et al. (2017),"Effect of Atomoxetine Treatment on Reading and Phonological Skills in Children with Dyslexia or Attention-Deficit/Hyperactivity Disorder and Comorbid Dyslexia in a Randomized, Placebo-Controlled Trial",Published,USA,Pharmacological treatment vs Placebo,37,"WJ, TOWRE, CTOPP, GORT","word, pseudowords, contextual reading",standardized,Clinical assessment,Control,,,20,,,22,,,20,,,22,0.27,Comprehension,Reading Comprehension,,Positivo,pre-post,Medical treatment,Medical treatment,Pharmacological treatment,,randomized,,,,,,147.6,153.6,150.7428571,Child,IQ > 80,IQ > 80,Effective,t-test on gains by group,,p < 0.05,yes,no,Cohen d,21,0.27,0.03965747
32,Shaywitz,2017,Shaywitz et al. (2017),"Effect of Atomoxetine Treatment on Reading and Phonological Skills in Children with Dyslexia or Attention-Deficit/Hyperactivity Disorder and Comorbid Dyslexia in a Randomized, Placebo-Controlled Trial",Published,USA,Pharmacological treatment vs Placebo,37,"WJ, TOWRE, CTOPP, GORT","word, pseudowords, contextual reading",standardized,Clinical assessment,Control,,,20,,,22,,,20,,,22,0.13,Word,Reading Fluency,,Positivo,pre-post,Medical treatment,Medical treatment,Pharmacological treatment,,randomized,,,,,,147.6,153.6,150.7428571,Child,IQ > 80,IQ > 80,Effective,t-test on gains by group,,p < 0.05,yes,no,Cohen d,21,0.13,0.038913545
